Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial072,BRAIN_1_PATH_Meningioma ax.png,0.665987703,0.647553812,0.59131491,0.663089493,0.626217188,0.574218889,0.588289902,0.713602253,0.676695381,0.556856227,0.624100067,0.778949782,0.55316443,0.604051571,0.631563877,0.683059415,0.770353386,0.617156791,0.566462642,0.547396681,0.674304352,0.721920578,0.607039401,0.615655299,0.655634532,0.631724717,0.625814927,0.511519025,0.698592839,0.542419712,0.699920648,0.56564728,0.660182956,0.668804631,0.649771905,0.549247756,0.575426254,0.603551972,0.674508374,0.608965244,0.608744205,0.693065166,0.672268498,0.620846956,0.627273596,0.62077262,0.594246467,0.837216284,0.598483503,0.687898711,0.722034751,0.55240224,0.593418452,0.612706309,0.676249583,0.662876408,0.638208312,0.623893378,0.588603244,0.605953338,0.540297393,0.493727976,0.667548202
Trial075,BRAIN_2_PATH_Mes tumour.png,0.547451694,0.639224721,0.6847718,0.5569166,0.599764165,0.642688046,0.616682464,0.835003703,0.669482756,0.681104115,0.645283414,0.691202888,0.567326818,0.683258339,0.604320634,0.67351235,0.745294979,0.609380815,0.684130417,0.689028342,0.759104102,0.622544876,0.714526896,0.633975562,0.571526297,0.609367271,0.50620112,0.638389565,0.694563427,0.7233734,0.530638106,0.598721902,0.488397015,0.594165118,0.640463616,0.629811961,0.600660735,0.668085187,0.679168857,0.690576489,0.59428999,0.763279883,0.644648295,0.571369609,0.670221268,0.554799264,0.609796388,0.869927809,0.572711172,0.751643771,0.743383037,0.65327268,0.597220201,0.603164458,0.662731367,0.657582876,0.762620197,0.627436965,0.653001466,0.645728196,0.687228542,0.588114768,0.604398193
Trial084,BRAIN_5_PATH_Dural ring.png,0.622603382,0.679004124,0.590863493,0.668274301,0.636947403,0.716652436,0.590377338,0.742203015,0.619772527,0.644726852,0.531525684,0.515532596,0.696962459,0.580563636,0.640619004,0.751983966,0.725831952,0.62055609,0.572361989,0.647140238,0.595912729,0.635582735,0.637024491,0.749222011,0.606021573,0.560444177,0.580871709,0.630207633,0.643138923,0.566883863,0.674521179,0.567083004,0.540414278,0.655653687,0.735323714,0.644180926,0.565540699,0.587934929,0.734424099,0.612813533,0.658424979,0.739414775,0.63615385,0.586642628,0.620581071,0.731922927,0.607795679,0.770371528,0.623240583,0.610330507,0.783779247,0.628869757,0.563475429,0.631480971,0.599380003,0.719691935,0.613158956,0.747008238,0.587147734,0.730950291,0.760003726,0.52195839,0.642049278
Trial087,BRAIN_6_PATH_Post surgical pit adenoma.png,0.699926642,0.594410951,0.6794395,0.661187674,0.645200225,0.652130338,0.595363146,0.688674678,0.622297128,0.698947681,0.624595454,0.639802863,0.691812831,0.575651239,0.645907884,0.634276168,0.662474045,0.567591054,0.563455687,0.638715895,0.60988968,0.633182706,0.614682974,0.680977176,0.647534756,0.638064731,0.550368428,0.568634559,0.706862342,0.674934768,0.64297873,0.676554933,0.525705596,0.668945096,0.563470256,0.438992483,0.62155979,0.59015299,0.762841394,0.728612815,0.042422818,0.555976537,0.584914867,0.465277121,0.466818853,0.58942155,0.554226405,0.776507944,0.551833453,0.618389088,0.540936056,0.701968564,0.638965261,0.67173245,0.679948037,0.588265595,0.774634672,0.659935402,0.845499964,0.648459069,0.715554588,0.663676431,0.564435619
Trial090,BRAIN_7_PATH_Ax schwannoma.png,0.575293746,0.587767389,0.631837876,0.70079806,0.67749332,0.665817451,0.665190985,0.743521172,0.624941344,0.704184363,0.661499643,0.758077191,0.605378089,0.572042785,0.572972204,0.662993025,0.745683958,0.701461697,0.60127827,0.634603769,0.582938869,0.587911039,0.701455699,0.756209243,0.654583051,0.64406417,0.712620126,0.603550692,0.650145925,0.584074395,0.717851749,0.719771384,0.543202367,0.707827327,0.655087763,0.701875831,0.67332081,0.629776114,0.693297664,0.645988076,0.638947922,0.734962599,0.816573902,0.660156252,0.698286824,0.607143062,0.565447084,0.720287089,0.597156342,0.674045537,0.627343395,0.600392645,0.642025052,0.580965581,0.680952152,0.800655974,0.579485908,0.613919248,0.748386064,0.469101649,0.621559397,0.583948341,0.742555953
Trial093,BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png,0.618528828,0.653905708,0.692758344,0.559616223,0.584429157,0.674968423,0.659205701,0.655393277,0.550446794,0.712312028,0.596907554,0.655703423,0.551876047,0.614125536,0.655813563,0.572564529,0.759734072,0.63323392,0.661260515,0.597808527,0.622959063,0.67747111,0.639724456,0.818116164,0.59441345,0.600896884,0.537516736,0.594185018,0.620126581,0.668753327,0.677760265,0.68195241,0.637605035,0.618604032,0.529589036,0.752407382,0.590524444,0.607191365,0.652930954,0.625768063,0.611905272,0.810844883,0.401644502,0.473921349,0.657198977,0.626774912,0.59752036,0.709948152,0.637013295,0.69687153,0.710098747,0.664870536,0.584055054,0.552834023,0.790299713,0.718503839,0.571898544,0.653699231,0.594435688,0.693162028,0.748604064,0.730483349,0.734767755
Trial105,BRAIN_12_PATH_GBM ax.png,0.691941587,0.62082195,0.733489163,0.625853755,0.677325391,0.574453021,0.62008735,0.590276989,0.64847685,0.671632061,0.626861815,0.746070836,0.63723706,0.597099648,0.642579725,0.600737414,0.709733264,0.67406201,0.667384701,0.682218052,0.681554105,0.659317633,0.67681698,0.699993078,0.595374548,0.594986287,0.718061734,0.574667155,0.38790989,0.620827061,0.513221783,0.680684864,0.652517856,0.598040559,0.758768759,0,0.5836005,0.560449987,0.553312906,0.690497667,0.697095088,0.668904674,0.60694076,0.687388202,0.693509781,0.787263993,0.730354266,0.589055657,0.633302855,0.670835366,1.105692077,0.561991525,0.665726478,0.57396014,0.705578277,0.627470864,0.628948235,0.597921984,0.700139524,0.681350423,0.695133868,0.514046178,0
Trial111,BRAIN_14_PATH_CS meningioma.png,0.600704801,0.617881008,0.661319673,0.65252262,0.600778392,0.528842031,0.662001017,0.793359181,0.650450456,0.740598593,0.574787422,0.612856537,0.691259301,0.572737996,0.656261384,0.678515558,0.80195878,0.573166291,0.759158009,0.688853465,0.622879541,0.718222031,0.659438279,0.650877664,0.619287927,0.537246823,0.669572164,0.6228784,0.735810727,0.612688802,0.699207193,0.67039088,0.653204785,0.502635755,0.715408711,0.245931023,0.572560393,0.618103126,0.704193689,0.656675793,0.666143932,0.636482418,0.510034666,0.611732171,0.695405458,0.648543663,0.668019035,0.740331625,0.550277145,0.660797793,0.631609835,0.62955983,0.617164166,0.692669962,0.723936237,0.611807388,0.686560515,0.623445244,0.664825614,0.618840217,0.584627147,0.645941767,0.097044005
Trial114,BRAIN_15_PATH_Temporal heamatoma T2.png,0.625745083,0.658995511,0.641952805,0.719269851,0.721877134,0.717778564,0.644244456,0.765174453,0.601460077,0.695094908,0.671333601,0.6759754,0.56880607,0.604794445,0.565243805,0.574419922,0.729336471,0.623213901,0.606431999,0.632788813,0.622938516,0.558907159,0.331310839,0.612060893,0.656409375,0.695918064,0.656982068,0.701150073,0.643803791,0.758439601,0.591272768,0.659633703,0.537711183,0.773538697,0.742386709,0.610064987,0.529476241,0.627479304,0.711253393,0.601441471,0.535041817,0.591883873,0.682058501,0.531695755,0.679118625,0.523105592,0.576031501,0.730343169,0.590932535,0.747506693,0.525391671,0.570317589,0.573601002,0.644426345,0.564086911,0.587695843,0.659072663,0.616121141,0.687097423,0.634890371,0.648680954,0.634561558,0.576647508
Trial117,BRAIN_16_PATH_Convexity Meningioma.png,0.614142184,0.80437109,0.772583865,0.706855649,0.636077933,0.649220682,0.66072228,0.633014402,0.688493052,0.589851493,0.62909993,0.697341907,0.654884024,0.627162054,0.714568132,0.64167327,0.814088026,0.595429885,0.701987067,0.573838921,0.666332435,0.751803849,0.598053187,0.669426244,0.609291192,0.667448838,0.629994581,0.638551534,0.668196799,0.685932961,0.651042517,0.759538922,0.705201097,0.627099695,0.613132269,0.831057917,0.549996255,0.644068431,0.841903488,0.614418982,0.554551414,0.54682344,0.550224386,0.683365487,0.598024449,0.527506741,0.700800982,0.745574331,0.586371396,0.700658806,0.539375469,0.681181933,0.679934385,0.630078432,0.580007138,0.629177928,0.710229606,0.579300656,0.753527016,0.641038437,0.715290982,0.654530695,0.8083635
Trial123,BRAIN_18_PATH_Sag schwannoma.png,0.714867814,0.635520828,0.644554083,0.695653236,0.660734328,0.668031588,0.554063078,0.698686737,0.65545402,0.579444661,0.560401139,0.685619649,0.616059766,0.592644172,0.575460455,0.60179891,0.83564801,0.653502538,0.619394302,0.713769528,0.567067892,0.703767536,0.618838907,0.623636011,0.541782971,0.597822615,0.572384067,0.656494154,0.584807574,0.541048451,0.714791518,0.583505355,0.66357689,0.602716746,0.663943798,0.878903502,0.549153547,0.569774691,0.715003321,0.652319768,0.683624066,0.661467421,0.59251694,0.671417336,0.74790207,0.58815146,0.541734314,0.49216571,0.586685019,0.649751787,0.397138503,0.631092689,0.655018206,0.630892252,0.778182407,0.661494248,0.611358307,0.552977743,0.718007567,0.597621879,0.612443894,0.766445846,0.689240954
