Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial072,BRAIN_1_PATH_Meningioma ax.png,1.316175273,1.18399439,1.22828773,1.230607753,1.327665019,1.412810038,1.249896644,1.419596161,1.181252649,1.159700183,1.272991458,1.169421824,1.293596462,1.204279976,1.247837776,1.268388913,1.214742949,1.180804317,1.209472757,1.205002309,1.256000414,1.251122415,1.200421328,1.264771678,1.333592204,1.264295503,1.184180539,1.26919711,1.18947007,1.243143118,1.296828709,1.378672458,1.18748272,1.36525656,1.17372986,1.362197422,1.188918613,1.265813709,1.278051331,1.200178271,1.303009212,1.280341264,1.242659453,1.230716905,1.179841859,1.209664974,1.250668072,1.531872114,1.224853863,1.505841644,1.161960358,1.314466237,1.180408958,1.233198963,1.27096989,1.185729948,1.354761879,1.233894771,1.203931088,1.258704346,1.250032622,1.206391942,1.351231419
Trial075,BRAIN_2_PATH_Mes tumour.png,1.199267038,1.288158524,1.209265917,1.259130078,1.248420252,1.282530656,1.317043366,1.551892284,1.310984562,1.240566753,1.264085246,1.224969037,1.423180571,1.210386033,1.239094469,1.226150931,1.416424153,1.190034606,1.304887696,1.210841536,1.215097926,1.24662406,1.236634404,1.401942709,1.266707195,1.333257041,1.194148964,1.267896637,1.345791594,1.243211658,1.26331401,1.339935566,1.276891595,1.264131992,1.286246159,1.203238723,1.202235588,1.264567969,1.175031868,1.218486116,1.217052259,1.239370569,1.330110496,1.251408287,1.171086436,1.221951712,1.266597249,1.758874241,1.230156796,1.269436474,1.231628161,1.289296805,1.225516639,1.177049598,1.241038617,1.247466908,1.25753664,1.271277436,1.162734659,1.305742656,1.224447235,1.339276342,1.306996637
Trial084,BRAIN_5_PATH_Dural ring.png,1.217646483,1.177829736,1.193172877,1.187376126,1.171450202,1.336742968,1.262076654,1.442880716,1.239725801,1.13688117,1.256400249,1.117471003,1.239942952,1.158072937,1.257642125,1.243271503,1.318180821,1.1765539,1.261916431,1.20069976,1.221265264,1.136248986,1.254886693,1.280117619,1.221212408,1.249677387,1.154959506,1.198584407,1.198057254,1.221462958,1.24170841,1.17255425,1.193382577,1.245058612,1.282711789,1.305841943,1.157151207,1.244281702,1.221280989,1.249324065,1.174578962,1.319919809,1.237921839,1.193367911,1.152499446,1.238278579,1.207086628,1.498943123,1.223754605,1.303474348,1.163859244,1.232186918,1.230202008,1.153302929,1.208865542,1.227289852,1.223696354,1.324560062,1.176089255,1.694878684,1.424069668,1.326723869,1.641050746
Trial087,BRAIN_6_PATH_Post surgical pit adenoma.png,1.214456568,1.230940374,1.200473022,1.276037087,1.216551562,1.263438634,1.231561061,1.358036982,1.241491149,1.156193246,1.265630285,1.138735079,1.405906455,1.194430236,1.154397443,1.22561523,1.257267651,1.203537768,1.295544378,1.173193893,1.267672796,1.23884183,1.236673845,1.272734651,1.22302867,1.257615539,1.379304781,1.283556325,1.209917347,1.290427308,1.252168363,1.21182977,1.208800343,1.233399166,1.269583303,1.141401127,1.229491851,1.211758838,1.295937431,1.1645893,1.099273622,1.211144132,1.245885399,1.147842521,1.171202781,1.278332321,1.269435769,1.509110622,1.209009293,1.236775868,1.208258576,1.209293011,1.186041981,1.185611831,1.255250532,1.168809939,1.199073656,1.203331515,1.249614704,1.599807769,1.464147212,1.290844011,1.356612104
Trial090,BRAIN_7_PATH_Ax schwannoma.png,1.191513779,1.182328035,1.233887664,1.1643255,1.188584927,1.346531165,1.28936667,1.457630514,1.263220108,1.217875456,1.171686307,1.172512784,1.315687388,1.249849982,1.285456283,1.177710855,1.156725578,1.177782005,1.215386712,1.222291965,1.164766137,1.203885878,1.175715267,1.268013964,1.194827799,1.288573306,1.24619847,1.202450249,1.173835963,1.231080704,1.227524309,1.246787641,1.25374111,1.248699092,1.214666284,1.23111965,1.188049708,1.232906468,1.241413676,1.149729088,1.189469955,1.268999969,1.405157099,1.268707039,1.133169628,1.251232564,1.241852503,1.33079416,1.181162522,1.246434039,1.168745305,1.218660257,1.183745544,1.183619541,1.272206628,1.274073245,1.240622154,1.265534216,1.191071759,1.221509731,1.64880794,1.176270499,1.416538835
Trial093,BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png,1.245830122,1.232128288,1.233006896,1.256006091,1.169283254,1.260950876,1.264844847,1.348000199,1.231436834,1.34285006,1.244232501,1.148555322,1.290777021,1.182575893,1.220877231,1.318248283,1.43285019,1.236493295,1.303206384,1.221663661,1.185201004,1.208439342,1.204755393,1.381457546,1.214504164,1.325394525,1.169642176,1.224623873,1.234087407,1.245207411,1.295486492,1.234199341,1.26212234,1.253735189,1.238534844,1.336287323,1.148096499,1.23292709,1.252864904,1.241826433,1.15573885,1.127909965,1.27228801,1.21097631,1.11983955,1.108335899,1.225944417,1.569170684,1.262911367,1.21800092,1.139392974,1.26305854,1.140919594,1.146265586,1.311288865,1.273021083,1.196480399,1.206366913,1.25160902,1.335758832,1.211554426,1.341879012,1.144267117
Trial105,BRAIN_12_PATH_GBM ax.png,1.205460705,1.245961056,1.205156168,1.146518865,1.164737017,1.310337773,1.290248243,1.324339227,1.236759572,1.150311307,1.214191075,1.1886219,1.289196328,1.198954229,1.149083314,1.198236148,1.26105514,1.198435811,1.334983099,1.202840353,1.204896726,1.239731428,1.256292221,1.287591275,1.219061948,1.292614109,1.216418807,1.184119412,1.224110062,1.248555145,1.251966681,1.246311652,1.164914572,1.225727844,1.258266241,1,1.209066104,1.293846843,1.213279413,1.256630074,1.139016379,1.342493693,1.243444782,1.186510026,1.15899775,1.204714138,1.310013236,1.604251836,1.275481193,1.257419667,1.02505501,1.247134597,1.175297706,1.304507578,1.209868903,1.192566105,1.29818419,1.233884684,1.178612151,1.247390047,1.323850312,1.127609683,1.007888624
Trial111,BRAIN_14_PATH_CS meningioma.png,1.287438555,1.24039997,1.284562698,1.231395207,1.217226115,1.296163485,1.402534193,1.366931841,1.306186953,1.267037952,1.326396164,1.17048861,1.518861045,1.32726182,1.19898837,1.207262044,1.379955927,1.222919394,1.353016135,1.275710912,1.342099741,1.291948386,1.211720852,1.305920208,1.340962952,1.370444501,1.310794075,1.268536002,1.312514417,1.261052799,1.350104686,1.331467308,1.361669369,1.339909162,1.243184286,1.264604576,1.213417327,1.308688347,1.410255952,1.25202718,1.1840578,1.297964482,1.221271342,1.215675253,1.150438857,1.262936097,1.26220835,1.458119045,1.18914753,1.281990737,1.207433517,1.330073458,1.162508324,1.252464219,1.239762932,1.258839354,1.156674084,1.262566588,1.136683384,1.282061675,1.238109606,1.293927931,1.110503589
Trial114,BRAIN_15_PATH_Temporal heamatoma T2.png,1.233715219,1.232482161,1.272968897,1.272053701,1.318216561,1.525899734,1.275951945,1.464269979,1.28076228,1.204061162,1.302144819,1.390290732,1.255484701,1.247507143,1.266165565,1.308408859,1.515438919,1.251559131,1.283219327,1.29187449,1.216310854,1.266239445,1.14265324,1.405451864,1.310453595,1.325581081,1.1730478,1.262621657,1.225579645,1.237475524,1.285911874,1.253602325,1.260513787,1.460113944,1.231039479,1.337875596,1.253732647,1.266984821,1.278403606,1.282427743,1.27582386,1.227513886,1.310625414,1.185477615,1.191187098,1.260969916,1.218778793,1.407788863,1.281283621,1.300430239,1.26985226,1.372033071,1.286674696,1.295271279,1.302447566,1.197266889,1.280203163,1.256114052,1.22204944,1.25924917,1.416218414,1.286277252,1.40534835
Trial117,BRAIN_16_PATH_Convexity Meningioma.png,1.228767332,1.25700358,1.270359293,1.232925131,1.184961473,1.392250487,1.298823051,1.306675679,1.200491098,1.186880653,1.229219411,1.208643451,1.206826706,1.172916411,1.107797945,1.217391229,1.415164822,1.188758819,1.178742686,1.311866046,1.212025097,1.233111386,1.207762007,1.238493706,1.231568659,1.254429194,1.236121388,1.206346831,1.200635113,1.262346036,1.236688472,1.290577354,1.177023033,1.269149065,1.380932162,1.26972597,1.143766076,1.286192579,1.416973009,1.213003408,1.198421732,1.311847163,1.241022119,1.182906086,1.151734579,1.306751066,1.284230949,1.498241413,1.234664809,1.359887806,1.197289034,1.296258762,1.170342984,1.175421922,1.225091756,1.183128329,1.324799128,1.290757923,1.226347418,1.22577671,1.349932181,1.325616982,1.317202535
Trial123,BRAIN_18_PATH_Sag schwannoma.png,1.215988302,1.257520635,1.206876126,1.157483365,1.163747908,1.250784641,1.119660381,1.264132433,1.190816368,1.141835801,1.313332734,1.230900511,1.262304985,1.211623719,1.212493816,1.172323254,1.154813921,1.270918778,1.274696139,1.286700638,1.285951084,1.180936904,1.219341213,1.278886005,1.254365027,1.471025362,1.216806932,1.226752204,1.140770229,1.229059916,1.227105789,1.339239253,1.2107914,1.239935155,1.203127967,1.568921601,1.151546356,1.214656588,1.360843983,1.180746529,1.15222337,1.282082352,1.207978204,1.146692241,1.132294457,1.216157524,1.26348483,1.081251258,1.257974764,1.237473958,1.115015154,1.208444096,1.206965377,1.214022628,1.245987656,1.184746944,1.234080615,1.238920283,1.246706549,1.235367563,1.270090734,1.217898461,1.29169985
Trial129,BRAIN_20_PATH_Empty Sella.png,1.196190795,1.310154977,1.205887255,1.185376552,1.160886106,1.248572113,1.214511824,1.289082848,1.211808741,1.224880881,1.237339685,1.296221675,1.226830572,1.199504411,1.259337164,1.166966655,1.413181992,1.176165603,1.254176022,1.218552682,1.264580899,1.288305899,1.193655728,1.261003875,1.341186233,1.301950402,1.314166519,1.24281888,1.268004601,1.158819398,1.442275837,1.255423035,1.283564659,1.323364798,1.196266188,1.254410724,1.179603204,1.168400194,1.20231463,1.214055852,1.182088917,1.349451618,1.250419825,1.359319139,1.168515412,1.370305633,1.193443468,1.339837583,1.209924662,1.242086293,1.160225653,1.316396892,1.207096552,1.296605585,1.237769766,1.278495115,1.214013355,1.166056488,1.185478067,1.330608482,1.337661633,1.276192673,1.24805703
Trial132,BRAIN_21_PATH_Cor met.png,1.259583801,1.235667062,1.295904965,1.249590891,1.322984776,1.307311941,1.268443615,1.38479847,1.237084357,1.200498463,1.219559139,1.194572951,1.226636015,1.259554092,1.163550246,1.25893472,1.50169257,1.243910228,1.301716808,1.300655667,1.12705852,1.306421135,1.261347597,1.263947606,1.289232559,1.389570538,1.288237909,1.283267242,1.208114409,1.351668805,1.287540863,1.332290161,1.328880118,1.406228999,1.354511444,1.236191082,1.202511543,1.301082251,1.289130887,1.422156807,1.319102285,1.290893861,1.385405124,1.249148877,1.267480241,1.287727229,1.307069922,1.588174493,1.18862544,1.26536389,1.088953552,1.186359166,1.175611413,1.356608032,1.283961613,1.202877279,1.225088076,1.31856011,1.248043467,1.304655946,1.523585864,1.239950508,1.442048976
Trial144,BRAIN_25_PATH_Transv sinus meningioma.png,1.22990659,1.229406435,1.244332596,1.120101226,1.34568186,1.225676332,1.287008314,1.426542314,1.208212441,1.171998474,1.166992679,1.22114591,1.243857231,1.267854585,1.230714101,1.246596077,1.39989298,1.189232457,1.322087769,1.234615767,1.179164872,1.266698235,1.328855221,1.345400186,1.273680655,1.353241286,1.257717438,1.25031676,1.264727948,1,1.256291994,1.325077554,1.226392798,1.348065211,1.232532154,1.394553958,1.216359604,1.219464144,1.343311725,1.20128822,1.248422896,1.209292703,1.344839851,1.231562348,1.225373092,1.255983673,1.290071802,1.438165077,1.247380021,1.296524678,1.138839751,1.364371617,1.17059245,1.191441716,1.259969354,1.539143062,1.198066354,1.297307812,1.23724068,1.212526899,1.468278731,1.42147481,1.338830419
